timestamp	time	fix	state	rawx	rawy	avgx	avgy	psize	Lrawx	Lrawy	Lavgx	Lavgy	Lpsize	Lpupilx	Lpupily	Rrawx	Rrawy	Ravgx	Ravgy	Rpsize	Rpupilx	Rpupily
MSG	2016-02-08 13:04:34.448	41702928	start_recording
2016-02-08 13:04:36.743	41705223	False	7	1500.0383	-721.6514	1496.1381	-803.8387	26.88695	1525.848	-2767.9587	1512.7979	-3228.5815	25.2935	0.4482	0.5193	1474.2285	1324.656	1478.1886	1429.3701	28.4804	0.6349	0.5156
2016-02-08 13:04:36.777	41705257	False	7	1494.3308	-504.2162	1495.7708	-742.9341	26.7597	1518.9745	-2495.811	1518.9745	-2495.811	25.1191	0.4486	0.5213	1469.6873	1487.3785	1476.432	1441.0043	28.4003	0.6351	0.5175
2016-02-08 13:04:36.820	41705300	False	7	1484.8879	-994.2029	1484.8879	-994.2029	26.86205	1492.5237	-3229.4756	1492.5237	-3229.4756	25.1198	0.4491	0.5232	1477.2523	1241.0697	1477.2523	1241.0697	28.6043	0.6354	0.5205
2016-02-08 13:04:36.854	41705334	False	7	1503.2075	-555.7703	1503.2075	-555.7703	27.08525	1515.2427	-2389.3428	1503.8977	-2808.8735	25.3386	0.4495	0.5259	1491.1724	1277.8021	1491.1724	1277.8021	28.8319	0.6353	0.524
2016-02-08 13:04:36.887	41705367	False	7	1518.5991	-625.2145	1510.9131	-590.5367	27.306	1524.1156	-2180.0127	1510.6849	-2597.6492	25.6815	0.4493	0.5291	1513.0826	929.5838	1502.1416	1103.4708	28.9305	0.6347	0.5283
2016-02-08 13:04:36.933	41705413	False	7	1504.1633	-717.5829	1508.6669	-633.1244	27.15145	1506.1453	-2583.332	1509.58	-2592.7065	25.5057	0.4483	0.5324	1502.1813	1148.1663	1502.1733	1118.1373	28.7972	0.6333	0.5322
2016-02-08 13:04:36.966	41705446	False	7	1487.0725	-177.4794	1503.2211	-518.4018	27.25625	1488.5361	-1790.9675	1505.3317	-2428.8276	25.4434	0.4465	0.5362	1485.6088	1436.0088	1498.0093	1198.1519	29.0691	0.6309	0.5359
2016-02-08 13:04:36.999	41705479	False	7	1484.1014	-229.9066	1499.3064	-459.2849	27.6239	1468.1497	-1444.8271	1468.1497	-1444.8271	26.0884	0.444	0.5407	1500.0532	985.0139	1498.4098	1155.2302	29.1594	0.628	0.5404
2016-02-08 13:04:37.043	41705523	False	7	1469.1279	-477.2317	1469.1279	-477.2317	27.71715	1433.9579	-1919.1814	1433.9579	-1919.1814	26.5971	0.4408	0.545	1504.298	964.718	1504.298	964.718	28.8372	0.6245	0.5443
2016-02-08 13:04:37.075	41705555	False	7	1473.1589	-221.8278	1473.1589	-221.8278	26.7964	1453.8516	-1344.8298	1443.9175	-1631.6393	25.3544	0.4375	0.55	1492.4663	901.1743	1492.4663	901.1743	28.2384	0.6203	0.5484
2016-02-08 13:04:37.110	41705590	False	7	1479.6172	-300.7325	1476.3922	-261.3305	26.9083	1442.731	-1509.3021	1443.5371	-1590.1995	25.6415	0.4335	0.5551	1516.5035	907.8371	1504.5002	904.5099	28.1751	0.6158	0.553
2016-02-08 13:04:37.154	41705634	False	7	1471.7451	-390.5648	1474.8422	-304.6587	27.26335	1449.5083	-1684.0667	1445.0543	-1613.3575	26.0717	0.4291	0.5611	1493.9819	902.937	1500.9998	903.9891	28.455	0.6104	0.5583
2016-02-08 13:04:37.188	41705668	False	7	1464.6161	-596.9619	1472.261	-378.6014	27.12395	1449.2473	-1810.8625	1445.9236	-1653.1974	26.2026	0.4239	0.5681	1479.9849	616.9387	1495.7009	831.588	28.0453	0.6043	0.5644
2016-02-08 13:04:37.222	41705702	False	7	1014.453	321.6764	1379.2805	-237.0193	28.64765	992.0836	2.8534	992.0836	2.8534	29.1103	0.4131	0.575	1036.8224	640.4994	1402.4893	792.3474	28.185	0.5924	0.5702
2016-02-08 13:04:37.266	41705746	False	7	1016.2346	373.7528	1016.2346	373.7528	28.9448	999.8948	96.3192	999.8948	96.3192	29.6208	0.409	0.5829	1032.5743	651.1864	1032.5743	651.1864	28.2688	0.5873	0.577
2016-02-08 13:04:37.299	41705779	False	7	964.0717	1294.7139	964.0717	1294.7139	31.7824	895.0792	1950.6046	947.4202	1024.6445	34.8859	0.4058	0.5882	1033.0641	638.8232	1033.0641	638.8232	28.6789	0.5839	0.5844
2016-02-08 13:04:37.334	41705814	False	4	997.3466	739.6363	980.7303	1016.821	14.3224	0.0	0.0	630.1819	683.2178	0.0	0.0	0.0	997.3466	739.6363	1015.1826	689.294	28.6448	0.5817	0.5924
2016-02-08 13:04:37.367	41705847	False	4	1012.1543	729.2088	991.2778	920.0718	14.03705	0.0	0.0	469.9568	510.7535	0.0	0.0	0.0	1012.1543	729.2088	1014.1386	702.7411	28.0741	0.5802	0.5996
2016-02-08 13:04:37.411	41705891	False	8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2016-02-08 13:04:37.445	41705925	False	8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2016-02-08 13:04:37.478	41705958	False	4	806.4556	539.1795	944.7207	823.2818	14.17375	0.0	0.0	372.551	405.8795	0.0	0.0	0.0	806.4556	539.1795	961.7278	661.6001	28.3475	0.5675	0.6107
2016-02-08 13:04:37.523	41706003	False	4	799.745	572.9629	915.0471	771.3011	13.9785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	799.745	572.9629	928.4965	643.4414	27.957	0.5629	0.6139
